madb_id,medium,duplicated,id,title,suffix,ruby,started_year,started_month,started_day,ended_year,ended_month,ended_day,broadcast,author,original_title,madb_uri,official_uri,memo
ANS000589700,TVスペシャル,ダブり,RZXP36GwCKL,DEATH NOTE ディレクターズカット完全決着版～リライト・幻視する神～,,デスノート ディレクターズカットカンゼンケッチャクバン リライト ゲンシスルカミ,2007,8,31,2007,8,31,NTV,-,,http://mediaarts-db.jp/an/anime_series/10111,,
ANS008121300,TVスペシャル,,Ea5TR6rMNXh,DEATH NOTE:R 幻視する神,,デスノート リライト ゲンシスルカミ,2007,8,31,,,,-,-,,http://mediaarts-db.jp/an/anime_series/18937,,
ANS000590200,劇場,,exKCCa52nGy,キディ・グレイド　劇場版第三部 KIDDY GRADE －TRUTH DAWN－（黎明編）,,キディグレイド ゲキジョウバン ダイサンブ キディグレイド トゥルースドーン レメイヘン,2007,9,1,,,,GOTT,-,,http://mediaarts-db.jp/an/anime_series/10119,,
ANS000590300,劇場,,3CE3W45GjUM,ヱヴァンゲリヲン新劇場版:序,,エヴァンゲリオンシンゲキジョウバン ジョ,2007,9,1,,,,クロックワークス、カラー,庵野秀明,,http://mediaarts-db.jp/an/anime_series/10121,,
ANS000590000,TVスペシャル,,JLVGPhDjEwF,ポケモン不思議の ダンジョン 時の探検隊 闇の探検隊,,ポケモンフシギノダンジョン トキノタンケンシャヤ ミノタンケンシャ,2007,9,9,,,,テレビ東京,田尻智、増田順一、杉森建,,http://mediaarts-db.jp/an/anime_series/10117,,
ANS000600500,OVA,,sX6U6XRnRAC,こどものじかん やすみじかん～あなたがわたしにくれたもの～,,コドモノジカン ヤスミジカン アナタガワタシニクレタモノ,2007,9,12,,,,-,私屋カヲル,,http://mediaarts-db.jp/an/anime_series/10314,,
ANS000870100,TV,,SdqBa4dQXey,MOONLIGHTMILE2ndシーズン Touch down,,ムーンライト マイル セカンドシーズン タッチダウン,2007,9,13,2007,12,13,WOWOW,-,,http://mediaarts-db.jp/an/anime_series/13863,,
ANS000590400,劇場,,yKvjhdvNeLd,CLANNAD,映画,クラナド,2007,9,15,,,,東映,ビジュアルアーツ、key,,http://mediaarts-db.jp/an/anime_series/10123,,
ANS000870200,TV,,r3AJYTNU7Xt,ジーキル博士とハイド氏,,ジーキルハカセト ハイドシ,2007,9,17,,,,-,-,,http://mediaarts-db.jp/an/anime_series/13865,,
ANS000600600,OVA,,sUHmENwgKiP,ARIA The OVA ～ARIETTA～,,アリア ジ オーブイエー アリエッタ,2007,9,21,,,,メディアファクトリー,天野こずえ,,http://mediaarts-db.jp/an/anime_series/10316,,
ANS000600700,OVA,,Y33jvckcsry,うら☆ひぐ（仮）,,ウラ ヒグ カッコカリ,2007,9,21,,,,-,-,,http://mediaarts-db.jp/an/anime_series/10318,,
ANS000590600,劇場,,UWsW5roGJoN,劇場版 アクエリオン AQUARION WINGS OF GENESIS-創星神話篇-,,ゲキジョウバンアクエリオン ソウセイシンワヘン,2007,9,22,,,,アルゴ・ピクチャーズ,河森正治、サテライト,,http://mediaarts-db.jp/an/anime_series/10127,,
ANS000590500,劇場,,nphaDdxSDhr,劇場版 アクエリオン HYMN TO TRIUMPH-壱発逆転篇-,,ゲキジョウバンアクエリオン,2007,9,22,,,,-,河森正治、サテライト,,http://mediaarts-db.jp/an/anime_series/10125,,
ANS000600800,OVA,,6pLUYpz3uo9,pico～ぼくの小さな夏物語～,,ピコ ボクノチイサナナツモノガタリ,2007,9,26,,,,販売元: ソフト・オン・デマンド,-,,http://mediaarts-db.jp/an/anime_series/10320,,
ANS000590700,劇場,,qR4WuPhfDhJ,ストレンヂア 無皇刃譚 SWORD OF THE STRANGER,,ストレンヂア ムコウハダン,2007,9,29,,,,松竹,BONES,,http://mediaarts-db.jp/an/anime_series/10129,,
ANS000870300,TVスペシャル,,DxjEVksphfj,こちら葛飾区亀有公園前派出所 両さんの寿司食いねぇ!～頂上マグロ対決!!～,,コチラカツシカクカメアリコウエンマエハシュツジョ リョウサンノスシクイネェ チョウジョウマグロタイケツ,2007,9,30,2007,10,7,CX,-,,http://mediaarts-db.jp/an/anime_series/13867,,
ANS008092100,TV,,5Qgjx8nhK9Y,みんなのうた「ノックは3回 ～Knock Three Times～」,,ミンナノウタ ノックハサンカイ ノックスリータイムス,2007,10,1,,,,-,-,,http://mediaarts-db.jp/an/anime_series/18654,,
ANS008092300,TV,,gE5PhAzARhP,みんなのうた「ギンガムチェックの小鳥」,,ミンナノウタ ギンガムチェックノコトリ,2007,10,1,,,,-,-,,http://mediaarts-db.jp/an/anime_series/18656,,
ANS008092000,TV,,X37y89B3uKp,みんなのうた「世界はハーモニー」,,ミンナノウタ セカイハハーモニー,2007,10,1,,,,-,-,,http://mediaarts-db.jp/an/anime_series/18653,,
ANS008092200,TV,,7XfDErHH5NU,みんなのうた「WINNER」,,ミンナノウタ ウィナー,2007,10,1,,,,-,-,,http://mediaarts-db.jp/an/anime_series/18655,,
ANS000591000,TV,,Di66xzX2mSk,Hello Kitty りんごの森とパラレルタウン,,ハローキティ リンゴノモリトパラレルタウン,2007,10,2,2008,3,25,テレビ東京他,-,,http://mediaarts-db.jp/an/anime_series/10135,,
ANS000591900,TV,,pE7wwR7n6mY,スケッチブック～full color'S～,,スケッチ ブック フルカラーズ,2007,10,2,2007,12,25,TX,小箱とたん「スケッチブック」（月刊コミックブレイド連載中）マッグガーデン刊 コミックス1～3巻・出張版 発売中,,http://mediaarts-db.jp/an/anime_series/10153,,
ANS000590900,TV,,RQNB7VxuTg2,D.C.Ⅱ～ダ・カーポⅡ～,,ダカーポ ツー,2007,10,2,2007,12,25,-,-,,http://mediaarts-db.jp/an/anime_series/10133,,
ANS000592000,TV,,FtJcXidR3eb,バンブーブレード,,バンブーブレード,2007,10,2,2008,4,1,TX,原作／土塚 理弘、作画／五十嵐あぐり（掲載・ヤングガンガン（スクウェア・エニックス刊））,,http://mediaarts-db.jp/an/anime_series/10155,,
ANS000592200,TV,,xq9tuSWyB2V,逆境無頼カイジ Ultimate Survivor,,ギャッキョウブライ カイジ アルティメット サヴァイヴァー,2007,10,3,2008,4,2,NTV,-,,http://mediaarts-db.jp/an/anime_series/10159,,
ANS000592100,TV,,RaeU9gVkHta,BLUE DROP 天使達の戯曲,,ブルードロップ テンシタチノギキョク,2007,10,3,2007,12,26,テレビ埼玉他,吉冨 昭仁,,http://mediaarts-db.jp/an/anime_series/10157,,
ANS000592300,TV,,aUhKMRsPhYm,素敵探偵ラビリンス,,ステキタンテイ ラビリンス,2007,10,3,2008,3,26,TX,-,,http://mediaarts-db.jp/an/anime_series/10161,,
ANS000592600,TV,,MFb4vw7z6bg,魔人探偵脳噛ネウロ,,マジンタンテイノウガミネウロ,2007,10,3,2008,3,26,日本テレビ,松井優征,,http://mediaarts-db.jp/an/anime_series/10168,,
ANS000592500,TV,,FtP6yvgBvAL,Myself;Yourself,,マイセルフ ユアセルフ,2007,10,3,2007,12,26,TVK,-,,http://mediaarts-db.jp/an/anime_series/10166,,
ANS000592700,TV,,B8Nss2t4ity,もっけ,,モッケ,2007,10,3,2008,3,16,テレビ朝日系,熊倉隆敏,,http://mediaarts-db.jp/an/anime_series/10170,,
ANS000592900,TV,,Z4S4oghUtGr,DRAGONAUT -THE RESONANCE-,,ドラゴノーツ ザ レゾナンス,2007,10,4,2008,3,27,テレビ東京,-,,http://mediaarts-db.jp/an/anime_series/10174,,
ANS000592800,TV,,RE6tiDUtJoA,ご愁傷さま二ノ宮くん,,ゴシュウショウサマ ニノミヤクン,2007,10,4,2007,12,20,TVQ,鈴木 大輔、高苗 京鈴（「月刊ドラゴンマガジン」連載、「月刊ドラゴンエイジ」連載、富士見ファンタジア文庫刊）,,http://mediaarts-db.jp/an/anime_series/10172,,
ANS000870400,TV,,saAWbuoVxvn,スイスイ! フィジー!,,スイスイ フィジー,2007,10,4,2008,4,12,-,-,,http://mediaarts-db.jp/an/anime_series/13869,,
ANS000593200,TV,,QGMDGhcfnMF,逮捕しちゃうぞフルスロットル,,タイホシチャウゾ フルスロットル,2007,10,5,2008,3,28,TBS,-,,http://mediaarts-db.jp/an/anime_series/10180,,
ANS000593100,TV,,E49PUwph5qa,灼眼のシャナ Ⅱ,,シャクガンノシャナ セカンド,2007,10,5,2008,3,28,MBS,高橋弥七郎,,http://mediaarts-db.jp/an/anime_series/10178,,
ANS000593000,TV,,YXZSpN2sY9M,CLANNAD,TV,クラナド,2007,10,5,2008,3,28,TBS,Key、ビジュアルアーツ,,http://mediaarts-db.jp/an/anime_series/10176,,
ANS000594900,劇場,,6AnyPzKaA2P,リトル・レッド～レシピ泥棒は誰だ!?～,,リトルレッド レシピドロボウハダレダ,2007,10,6,,,,クロックワークス,原案／ コリー・エドワーズ トッド・エドワーズ,,http://mediaarts-db.jp/an/anime_series/10212,,
ANS000870800,TV,,hFygD4P6sPp,先生のチョンマゲアッパレひでよしくん,,センセイノ チョンマゲ アッパレヒデヨシ クン,2007,10,6,2007,12,31,-,-,,http://mediaarts-db.jp/an/anime_series/13877,,
ANS000870500,TV,,3W83fj3oCR9,はなけろ くるりん島のなかまたち,,ハナケロ クルリントウノナカマタチ,2007,10,6,2007,12,31,-,-,,http://mediaarts-db.jp/an/anime_series/13871,,
ANS000591100,TV,,YJH2ZhRhuqZ,デュエル・マスターズゼロ,,デュエルマスターズゼロ,2007,10,6,2008,3,29,テレビ東京系列,WOｔC ・原作/松本しげのぶ,,http://mediaarts-db.jp/an/anime_series/10137,,
ANS000597000,TV,,qhNELitGWJ7,おしゃべりなちゅどんズ,,オシャベリ ナチュドンズ,2007,10,6,2008,3,29,-,-,,http://mediaarts-db.jp/an/anime_series/10254,,
ANS000871200,TV,,7JkUhFxdnnv,土管くん何かの絵描き歌,,ドカンクン ナニカノ エカキウタ,2007,10,6,2007,12,31,-,-,,http://mediaarts-db.jp/an/anime_series/13885,,
ANS000593300,TV,,YAdJTZ4o9ok,機動戦士ガンダム00,,キドウセンシ ガンダムダブルオー,2007,10,6,2008,3,29,MBS・TBS,矢立 肇、富野由悠季,,http://mediaarts-db.jp/an/anime_series/10182,,
ANS000591200,TV,,tGzx3eot5HP,天才?Dr.ハマックス,,テンサイドクターハマックス,2007,10,6,2008,3,15,ファミリー劇場,Not exist,,http://mediaarts-db.jp/an/anime_series/10139,,
ANS000593400,TV,,5PjTihqALQ8,しゅごキャラ!,,ジョゴキャラ,2007,10,6,2008,9,27,-,ＰＥＡＣＨ－ＰＩＴ(講談社「なかよし」連載),,http://mediaarts-db.jp/an/anime_series/10184,,
ANS000593500,TV,,Va6FH3BQ5ur,まめうしくん,,マメウシクン,2007,10,6,2008,9,27,TVK,あきやまただし,,http://mediaarts-db.jp/an/anime_series/10186,,
ANS000870900,TV,,itsDVaaTsob,Baikin-kun,,バイキンクン,2007,10,6,2008,3,29,-,-,,http://mediaarts-db.jp/an/anime_series/13879,,
ANS000871000,TV,,DFuZVLu56Jv,ピテカント,,ピテカント,2007,10,6,2007,12,22,-,-,,http://mediaarts-db.jp/an/anime_series/13881,,
ANS000870700,TV,,FmGTzfVXZ5i,音楽の墓場,,オンガクノハカバ,2007,10,6,2007,11,24,-,-,,http://mediaarts-db.jp/an/anime_series/13875,,
ANS000870600,TV,,9xUZvSea3zx,ネコべん,,ネコ ベン,2007,10,6,2007,12,31,-,-,,http://mediaarts-db.jp/an/anime_series/13873,,
ANS000871100,TV,,egFveGiyHDn,筋肉学園,,キンニクガクエン,2007,10,6,2008,3,29,TX Sony Creative Products Inc,-,,http://mediaarts-db.jp/an/anime_series/13883,,
ANS000593900,TV,,Kp2NnWgB4kX,ぷるるんっ! しずくちゃん あはっ☆,,プルルンッ シズクチャン アハッ,2007,10,7,2008,9,28,TX,-,,http://mediaarts-db.jp/an/anime_series/10194,,
ANS000871300,TV,,pCEKQ6YpKx8,私が出会った“知られざる”島根県,,ワタシガデアッタ シラレザル シマネケン,2007,10,7,2007,10,7,-,-,,http://mediaarts-db.jp/an/anime_series/13887,,
ANS000594000,TV,,zRNftsMY6ph,Maple Story メイプルストーリー,,メイプルストーリー,2007,10,7,2008,3,30,テレビ東京,ネクソン,,http://mediaarts-db.jp/an/anime_series/10196,,
ANS000593600,TV,,2nUvT4Ubumw,ef - a tale of memories.,,エフ ア テイル オブ メモリーズ,2007,10,7,2007,12,23,CTV,minori、鏡遊、御影,,http://mediaarts-db.jp/an/anime_series/10188,,
ANS000593800,TV,,9YFdj3nL9RF,はたらキッズ マイハム組,,ハタラキッズ マイハムグミ,2007,10,7,2008,10,5,EX,東堂いづみ,,http://mediaarts-db.jp/an/anime_series/10192,,
ANS000593700,TV,,DWXK2PvGRM9,キミキスpure rouge,,キミキス ピュア ローグ,2007,10,7,2008,3,23,MBS,エンターブレイン,,http://mediaarts-db.jp/an/anime_series/10190,,
ANS000591300,TV,,VgRapraCK7c,やっとかめ探偵団,,ヤットカメ タンテイダン,2007,10,7,2008,1,6,-,-,,http://mediaarts-db.jp/an/anime_series/10141,,
ANS000594100,TV,,WSJknV8HQGe,獣神演武 HERO TALES,,ジュウシンエンブ ヒーロー テールズ,2007,10,8,2008,3,31,TX,-,,http://mediaarts-db.jp/an/anime_series/10198,,
ANS000591600,TV,,yB4iWrH4NFz,サンリオぽこあぽこ,,サンリオポコアポコ,2007,10,8,2008,1,16,-,-,,http://mediaarts-db.jp/an/anime_series/10147,,
ANS000594300,TV,,vr73EAAC7ee,レンタル×マギカ,,レンタルバイマギカ,2007,10,8,2008,3,24,CTC,三田  誠・pako,,http://mediaarts-db.jp/an/anime_series/10202,,
ANS000591400,TV,,eXHrT84a4J8,PRISM ARK,,プリズム アーク,2007,10,8,2007,12,24,-,-,,http://mediaarts-db.jp/an/anime_series/10143,,
ANS000594200,TV,,gQDUMDGvUxy,みなみけ,,ミナ ミケ,2007,10,8,2007,12,31,TX,-,,http://mediaarts-db.jp/an/anime_series/10200,,
ANS000872000,TV,,kEmVrEGUbfh,ウサビッチ,シーズン2,ウサビッチ,2007,10,9,,,,-,-,,http://mediaarts-db.jp/an/anime_series/13899,,
ANS000594500,TV,,MAScANbvhwF,もやしもんTALES OF AGRICULTURE,,モヤシモン テールズ オブ アグリカルチャー,2007,10,12,2007,12,21,CX,石川 雅之（「イブニング」連載中・講談社刊）,,http://mediaarts-db.jp/an/anime_series/10206,,
ANS000591500,TV,,ois3dX8bnSe,こどものじかん,TV,コドモノジカン,2007,10,12,2007,12,28,-,-,,http://mediaarts-db.jp/an/anime_series/10145,,
ANS000594400,TV,,ZBXdeUgN7QV,げんしけん2,,ゲンシケン ツー,2007,10,13,2007,12,29,CTV,木尾 士目,,http://mediaarts-db.jp/an/anime_series/10204,,
ANS000594600,TV,,27hjq3SUZ37,しおんの王The Powers of Hard Blood,,シオンノオウ ザ パワー オブ ハード ブラッド,2007,10,14,2008,3,23,CX,かとりまさる,,http://mediaarts-db.jp/an/anime_series/10208,,
ANS000590800,TV,,CEz4zhvYqTy,シャンプー王子,,シャンプー オウジ,2007,10,15,2007,12,17,テレビ埼玉、キッズステーション,-,,http://mediaarts-db.jp/an/anime_series/10131,,
ANS008116900,OVA,,hPnmDzHsBGW,あおくび大根・いんぐりっしゅ講座,,アオクビダイコン イングリッシュコウザ,2007,10,17,,,,ポニーキャニオン,-,,http://mediaarts-db.jp/an/anime_series/18894,,
ANS000594700,TV,,xavGebhRHvm,神霊狩/GHOST HOUND,,シンレイガリ ゴーストハウンド,2007,10,18,2008,4,4,放送:WOWOW、DVD発売:ポニーキャニオン,プロダクション・アイジー/士郎正宗,,http://mediaarts-db.jp/an/anime_series/10210,,
ANS000595000,劇場,,NmdXrSA8PJ8,APPLESEED EX MACHINA,,アップルシード エクスマキナ,2007,10,20,,,,東映,士郎正宗,,http://mediaarts-db.jp/an/anime_series/10214,,
ANS000591800,TV,,koxw8koyaeV,一期一会恋バナ友バナ,,イチゴイチエ コイバナトモバナ,2007,10,20,2008,1,26,キッズステーション,-,,http://mediaarts-db.jp/an/anime_series/10151,,
ANS000595700,劇場,,gqxKtUDvGyZ,カフカ 田舎医者,,カフカ イナカイシャ,2007,10,20,,,,松竹,フランツ・カフカ,,http://mediaarts-db.jp/an/anime_series/10228,,
ANS000600900,OVA,,yiR5Z8ghV2R,茄子 スーツケースの渡り鳥,,ナススーツケースノワタリドリ,2007,10,24,,,,バップ,黒田硫黄,,http://mediaarts-db.jp/an/anime_series/10322,,
ANS000591700,OVA,,7t3W6VmoPzW,ひだまりスケッチ特別編,,ヒダマリスケッチトクベツヘン,2007,10,24,2007,10,19,アニプレックス,「ひだまりスケッチ」蒼樹うめ（月刊『まんがタイムきららCarat」連載中）,,http://mediaarts-db.jp/an/anime_series/10149,,
ANS000601000,OVA,,VPFuJDWEYRM,おしえてRe:メイド,,オシエテリメイド,2007,10,25,,,,-,UNiSONSHIFT Accent.,,http://mediaarts-db.jp/an/anime_series/10324,,
ANS000601100,OVA,,2XHG32u5AQL,借金姉妹,,シャッキンシマイ,2007,10,25,,,,GPミュージアムソフト,-,,http://mediaarts-db.jp/an/anime_series/10326,,
ANS000601400,OVA,,WkxFHLNwSXm,装甲騎兵ボトムズ ペールゼン・ファイルズ,,ソウコウキヘイボトムズ ペールゼンファイルズ,2007,10,26,2008,8,22,バンダイビジュアル,矢立肇 高橋良輔,,http://mediaarts-db.jp/an/anime_series/10332,,
ANS000601300,OVA,,DfiGwvJej6U,CLAMP IN WONDERLAND 2 1995-2006,,クランプインワンダーランドツー,2007,10,26,,,,-,ＣＬＡＭＰ,,http://mediaarts-db.jp/an/anime_series/10330,,
ANS000601200,OVA,,ghHhRP5U24S,今日からマ王!R,,キョウカラマオウアール,2007,10,26,,,,発売元:角川書店 販売元:ケンメディア,喬林知,,http://mediaarts-db.jp/an/anime_series/10328,,
ANS008011200,劇場,,LQcsw76BcYf,AFRO SAMURAI,映画,アフロサムライ,2007,10,27,,,,-,岡崎能士,[AFRO SAMURAI],http://mediaarts-db.jp/an/anime_series/17853,,
ANS000871400,TV,,q6MHC7snSxo,天下統一 CG将軍,,テンカトウイツ シージーショウグン,2007,10,27,2007,10,27,-,-,,http://mediaarts-db.jp/an/anime_series/13889,,
ANS000595100,TV,,Xc5XBuFMqoR,ボノロン～不思議な森のいいつたえ～,,ボノロン フシギナモリノイイツタエ,2007,11,3,2008,5,17,キッズステーション,-,,http://mediaarts-db.jp/an/anime_series/10216,,
ANS000595300,TV,,24DqbNKoY5g,流星のロックマントライブ,,リュウセイノロックマン トライブ,2007,11,3,2008,3,29,テレビ東京,,,http://mediaarts-db.jp/an/anime_series/10220,,
ANS000592400,TV,,HKTBB2H5pdf,ナイトウィザードThe ANIMATION,,ナイトウィザード ジ アニメーション,2007,11,6,2008,2,5,-,菊池たけし/F.E.A.R.,,http://mediaarts-db.jp/an/anime_series/10163,,
ANS000595600,劇場,,4s3i6FFqjT5,映画 Yes! プリキュア5 鏡の国のミラクル大冒険!,,イエスプリキュアファイブ カガミノクニノミラクルダイサクセン,2007,11,10,,,,東映,東堂いづみ,,http://mediaarts-db.jp/an/anime_series/10226,,
ANS000595400,TV,,xAheiK3EkUN,エレキングthe Animation,,エレキング ジ アニメーション,2007,11,10,2008,2,9,KIDS STATION,大橋ツヨシ（講談社「モーニング」連載,,http://mediaarts-db.jp/an/anime_series/10222,,
ANS000871600,TV,,C6GJRe2JHXX,星新一ショートsHORT劇場,,ホシシンイチショート ショート ゲキジョウ,2007,11,11,2007,11,11,NHK,-,,http://mediaarts-db.jp/an/anime_series/13891,,
ANS000595500,TVスペシャル,,S3rJQpcQsAs,金田一少年の事件簿 SP,,キンダイチハジメ ショウネンノ ジケンボスペシャル,2007,11,12,2007,11,19,YTV,金成陽三郎、原案／天樹 征丸（安童 夕馬、青樹 佑夜、亜樹  直）（漫画・さとうふみや）,,http://mediaarts-db.jp/an/anime_series/10224,,
ANS000630800,OVA,,cjr3DkK9yUy,ツバサ TOKYO REVELATIONS,,ツバサ トウキョウ レヴェレーション,2007,11,16,,,,発売元:株式会社講談社/販売元:株式会社講談社,CLAMP,,http://mediaarts-db.jp/an/anime_series/10888,,
ANS008011700,劇場,,44PP7KkhcgG,こどもの形而上学,,コドモノケイジジョウガク,2007,11,17,,,,-,-,,http://mediaarts-db.jp/an/anime_series/17858,,
ANS008011600,劇場,,CYWCeY5dYyD,校長先生とクジラ,,コウチョウセンセイトクジラ,2007,11,17,,,,-,-,,http://mediaarts-db.jp/an/anime_series/17857,,
ANS000601700,OVA,,rCMGUSHv7tU,ピューと吹く!ジャガー,,ピュートフクジャガー,2007,11,19,,,,リバプール,うすた京介,,http://mediaarts-db.jp/an/anime_series/10334,,
ANS000604700,OVA,,ozgcdojxpau,それいけ!アンパンマン おともだちシリーズ/アドベンチャー,,ソレイケアンパンマンオトモダチシリーズアドベンチャー,2007,11,21,,,,バップ,やなせたかし,[それいけ!アンパンマン],http://mediaarts-db.jp/an/anime_series/10378,,
ANS000604200,OVA,,VLpLzxAV3Cu,それいけ!アンパンマン おともだちシリーズ/うたのなかま,,ソレイケアンパンマンオトモダチシリーズウタノナカマ,2007,11,21,,,,バップ,やなせたかし,[それいけ!アンパンマン],http://mediaarts-db.jp/an/anime_series/10370,,
ANS000604400,OVA,,fjLgbAjFRUw,それいけ!アンパンマン おともだちシリーズ/ファンタジー「バタコさんと空飛ぶマフラー」,,ソレイケアンパンマン オトモダチシリーズ ファンタジー バタコサントソラトブマフラー,2007,11,21,,,,バップ,やなせたかし,[それいけ!アンパンマン],http://mediaarts-db.jp/an/anime_series/10374,,
ANS000601800,OVA,,r63qmoE6dCz,こはるびより,,コハルビヨリ,2007,11,21,,,,ジェネオンエンタテインメント,みづきたけひと,,http://mediaarts-db.jp/an/anime_series/10337,,
ANS000601900,OVA,,f8wvEfTxqtZ,魔法少女隊アルス THE ADVENTURE,,マホウショウジョタイ アルス ジ アドベンチャー,2007,11,22,,,,発・販:東北新社,雨宮慶太,,http://mediaarts-db.jp/an/anime_series/10340,,
ANS000595200,TV,,8jzpwUpPMsA,ゆめだまや奇談,,ユメダマヤキダン,2007,11,25,,,,アニマックス,月野あかり,,http://mediaarts-db.jp/an/anime_series/10218,,
ANS000602100,OVA,,SDh9TSQqvHt,STRAIT JACKET ストレイト・ジャケット,,ストレイトジャケット,2007,11,30,,,,ティー・オーエンタテインメント,榊一郎,,http://mediaarts-db.jp/an/anime_series/10344,,
