madb_1_title,madb_1_ruby,madb_2_title,madb_2_ruby,animedb_title,animedb_ruby,madb_id,madb_uri
実録忠臣蔵,ジツロクチュウシングラ,実録忠臣蔵,ジツロクチュウシングラ,実録忠臣蔵,ジツロクチュウシングラ,ANS002014400,http://mediaarts-db.jp/an/anime_series/16566
醒めよ有権者,サメヨユウケンシャ,醒めよ有権者,サメヨユウケンシャ,醒めよ有権者,サメヨユウケンシャ,ANS002014100,http://mediaarts-db.jp/an/anime_series/16560
国家を救え,コッカヲスクエ,国家を救え,コッカヲスクエ,国家を救え,コッカヲスクエ,ANS002014000,http://mediaarts-db.jp/an/anime_series/16558
市政刷新,シセイサッシン,市政刷新,シセイサッシン,市政刷新,シセイサッシン,ANS002014300,http://mediaarts-db.jp/an/anime_series/16564
頓智博士,トンチハカセ,頓智博士,トンチハカセ,頓智博士,トンチハカセ,ANS002014500,http://mediaarts-db.jp/an/anime_series/16568
予算政治,ヨサンセイジ,予算政治,ヨサンセイジ,予算政治,ヨサンセイジ,ANS002014200,http://mediaarts-db.jp/an/anime_series/16562
姥捨山,ウバステヤマ,姥捨山,ウバステヤマ,姥捨山,ウバステヤマ,ANS000692400,http://mediaarts-db.jp/an/anime_series/12016
姨捨山,ウバステヤマ,姨捨山,ウバステヤマ,姨捨山,ウバステヤマ,ANS002009100,http://mediaarts-db.jp/an/anime_series/16466
壺,ツボ,壺,ツボ,壺,ツボ,ANS002009900,http://mediaarts-db.jp/an/anime_series/16480
馬具田城の盗賊,バグタジョウノトウゾク,馬具田城の盗賊,バグタジョウノトウゾク,馬具田城の盗賊,バグタジョウノトウゾク,ANS000003100,http://mediaarts-db.jp/an/anime_series/41
怠け太郎と何にも仙人,ナマケタロウトナンニモセンニン,怠け太郎と何にも仙人,ナマケタロウトナンニモセンニン,怠け太郎と何にも仙人,ナマケタロウトナンニモセンニン,ANS000003400,http://mediaarts-db.jp/an/anime_series/47
孫悟空物語,ソンゴクウモノガタリ,孫悟空物語,ソンゴクウモノガタリ,孫悟空物語,ソンゴクウモノガタリ,ANS000003200,http://mediaarts-db.jp/an/anime_series/43
